DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,CY,2020-Q2,47.1,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,CY,2020-Q3,23.5,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,CY,2020-Q4,47.1,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,CY,2021-Q1,23.5,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,CY,2021-Q2,0.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,CY,2021-Q3,47.1,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,CY,2021-Q4,23.5,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2018-Q1,83.1,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2018-Q2,83.9,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2018-Q3,73.8,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2018-Q4,78.8,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2019-Q1,81.4,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2019-Q2,87.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2019-Q3,85.5,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2019-Q4,82.1,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2020-Q1,93.1,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2020-Q2,87.8,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2020-Q3,62.6,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2020-Q4,66.7,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2021-Q1,61.3,
